City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
79,Torbay,CA,47.6666,-52.7314,28.58,94,100,27.63,snow
80,Lebu,CL,-37.6167,-73.65,58.46,76,0,19.95,clear sky
81,Port Hardy,CA,50.6996,-127.4199,42.98,75,75,14.97,light rain
82,Paamiut,GL,61.994,-49.6678,17.82,85,45,6.31,scattered clouds
83,Mumbwa,ZM,-14.9783,27.0619,63.16,98,69,4.81,broken clouds
84,Esperance,AU,-33.8667,121.9,66.94,94,100,3.4,overcast clouds
85,Hobart,AU,-42.8794,147.3294,57.25,68,75,6.91,broken clouds
86,College,US,64.8569,-147.8028,25.59,73,100,9.22,light snow
87,Lagoa,PT,39.05,-27.9833,52.97,86,100,10.22,light rain
88,Pulivendla,IN,14.4167,78.2333,83.23,59,60,6.87,broken clouds
89,East London,ZA,-33.0153,27.9116,73.11,86,50,18.41,scattered clouds
90,Arawa,PG,-6.2132,155.5367,81.9,70,82,4.05,broken clouds
91,Hermanus,ZA,-34.4187,19.2345,61.81,74,100,3.8,overcast clouds
92,Mount Pleasant,US,32.7941,-79.8626,82.54,72,0,14.97,clear sky
93,Quirinopolis,BR,-18.4483,-50.4517,75.87,76,57,2.01,broken clouds
94,Methoni,GR,36.8197,21.7049,57.22,81,0,10.18,clear sky
95,Asau,RO,46.4333,26.4,47.32,66,100,5.48,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,71.44,83,85,8.03,overcast clouds
97,Kaz,RU,52.9113,87.3105,18.88,97,84,3.0,broken clouds
98,Saskylakh,RU,71.9167,114.0833,2.7,89,91,9.33,overcast clouds
99,Faanui,PF,-16.4833,-151.75,82.74,72,16,10.94,few clouds
100,Ilulissat,GL,69.2167,-51.1,10.42,72,100,5.75,overcast clouds
101,Bantry,IE,51.6833,-9.45,46.6,83,38,24.58,scattered clouds
102,Jamestown,US,42.097,-79.2353,46.53,49,0,4.61,clear sky
103,Cortes,ES,41.9395,-1.4396,52.88,81,7,8.12,clear sky
104,Bogashevo,RU,56.3683,85.1447,30.04,72,75,17.9,broken clouds
105,Hualmay,PE,-11.0964,-77.6139,77.95,70,92,10.96,overcast clouds
106,Huilong,CN,31.8111,121.655,43.93,73,98,9.33,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,-26.1,100,62,5.06,broken clouds
108,Tonj,SS,7.2737,28.6822,85.42,29,3,1.83,clear sky
109,Bell Ville,AR,-32.6259,-62.6887,74.8,97,100,5.21,light rain
110,Barrow,US,71.2906,-156.7887,3.22,85,0,10.36,clear sky
111,Kruisfontein,ZA,-34.0033,24.7314,69.89,67,100,4.32,overcast clouds
112,Roald,NO,62.5833,6.1333,37.76,60,75,21.85,broken clouds
113,Bonthe,SL,7.5264,-12.505,77.16,82,10,8.41,clear sky
114,Pangkalanbuun,ID,-2.6833,111.6167,72.7,95,99,0.94,overcast clouds
115,Castro,BR,-24.7911,-50.0119,66.63,88,41,2.8,scattered clouds
